Numero Factura;Fecha y Hora;Nombre Cliente;Documento Cliente;Nombre Producto;Codigo de Barras;Cantidad;Precio;Descuento Porcentaje;Metodo Pago;Subtotal Factura;IVA Factura;Total Factura;Usuario Vendedor;Anulada
FAC-743;2026-07-07;;;SPLASH CABALLERO CAPSULA (UN);4623010;1;36000;0;A convenir;36000;0;36000;admin;NO
FAC-743;2026-07-07;;;CAMISETAS CABALLERO POLO ROMBOS ALGODON (L);11221723;1;66000;0;;66000;0;66000;admin;NO
FAC-743;2026-07-07;;;CAMISETAS CABALLERO CUELLO REDONDO TIPO GALLETA (M);11229125;1;42000;0;;42000;0;42000;admin;NO
FAC-743;2026-07-07;;;LAPIZ DAMA CEJAS (UN);7213020;1;9000;0;;9000;0;9000;admin;NO
FAC-743;2026-07-07;;;CAIMAN DAMA OSCURO CAFE (UN);5911980;1;6000;0;;6000;0;6000;admin;NO
FAC-743;2026-07-07;;;CONJUNTO UNISEX COLOMBIA 1.1 POLO AZUL (L);40329523;1;80000;0;;80000;0;80000;admin;NO
FAC-743;2026-07-07;;;CONJUNTO UNISEX COLOMBIA AAA AZUL ENTRENAMIENTO (M);40333225;1;75000;0;;75000;0;75000;admin;NO
FAC-743;2026-07-07;;;CAMISETAS UNISEX COLOMBIA AAA POLO AZUL (S);11329627;1;60000;0;;60000;0;60000;admin;NO
FAC-743;2026-07-07;;;CANDONGAS UNISEX CANDONGA MEDIANA (VA);3436731;1;20000;0;;20000;0;20000;admin;NO
FAC-742;2026-07-07;;;PANTALONES DAMA NOCHE (12);211974;1;92000;0;Tarjeta de crédito;92000;0;92000;admin;NO
FAC-741;2026-07-07;;;CAMISETAS CABALLERO POLO TOMMY (XL);11229832;1;50000;0;Transferencia o depósito;50000;0;50000;admin;NO
FAC-740;2026-07-07;;;BUSOS CABALLERO CUELLO REDONDO (M);26210825;1;56000;0;Efectivo;56000;0;56000;admin;NO
FAC-739;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-738;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;2;70000;0;A convenir;70000;0;70000;admin;NO
FAC-737;2026-07-07;;;CONJUNTO CABALLERO ALEMANIA AAA LOCAL (L);4021523;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-736;2026-07-07;;;BLUSAS DAMA AMBAR (UN);612430;1;46000;0;Efectivo;46000;0;46000;admin;NO
FAC-736;2026-07-07;;;GORRAS UNISEX VARIOS (UN);14327530;1;32000;0;;32000;0;32000;admin;NO
FAC-735;2026-07-07;;;GORRAS UNISEX COLOMBIA 1.1;14335930;1;60000;0;A convenir;60000;0;60000;admin;NO
FAC-734;2026-07-07;;;SACO DAMA SACO ABIERTO (UN);39124730;1;66000;0;Tarjeta de débito;66000;0;66000;admin;NO
FAC-734;2026-07-07;;;BUSOS DAMA CAPOTA LANA (UN);2617030;1;68000;0;;68000;0;68000;admin;NO
FAC-733;2026-07-07;;;BUSOS DAMA PEPAS CHINILLO (UN);26120730;1;50000;0;Efectivo;50000;0;50000;admin;NO
FAC-732;2026-07-07;;;CAMISETAS CABALLERO POLO SEDA FRIA (XL);11221832;1;48000;0;Tarjeta de débito;48000;0;48000;admin;NO
FAC-732;2026-07-07;;;BUSOS UNISEX ALGODON CUELLO REDONDO ESTAMPADO (XL);2632132;1;44000;0;;44000;0;44000;admin;NO
FAC-731;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (M);26319425;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-730;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (S);1128827;1;60000;0;Tarjeta de débito;60000;0;60000;admin;NO
FAC-729;2026-07-07;;;CAMISETAS CABALLERO POLO SEDA FRIA (M);11221825;1;48000;0;Efectivo;48000;0;48000;admin;NO
FAC-728;2026-07-07;;;CARRIEL UNISEX VALANT (UN);1832740;1;44000;0;Efectivo;44000;0;44000;admin;NO
FAC-727;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (S);1128727;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-726;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-725;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (XXL);26319434;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-725;2026-07-07;;;CAMISETAS CABALLERO CUELLO REDONDO TIPO GALLETA (XL);11229132;1;42000;0;;42000;0;42000;admin;NO
FAC-725;2026-07-07;;;BUSOS CABALLERO MEDIA CREMALLERA COMBINADO (UN);26218530;1;80000;0;;80000;0;80000;admin;NO
FAC-725;2026-07-07;;;CAMISETAS CABALLERO SEDA FRIA (XL);11224832;1;40000;0;;40000;0;40000;admin;NO
FAC-725;2026-07-07;;;CAMISETAS CABALLERO SEDA FRIA (M);11224825;2;40000;0;;40000;0;40000;admin;NO
FAC-725;2026-07-07;;;BUSOS CABALLERO CUELLO REDONDO COMBINADO (UN);26210930;1;70000;0;;70000;0;70000;admin;NO
FAC-725;2026-07-07;;;PANTALONETAS CABALLERO DEPORTIVA (S-M);35211328;1;44000;0;;44000;0;44000;admin;NO
FAC-725;2026-07-07;;;GORRAS UNISEX VARIOS (UN);14327530;1;32000;0;;32000;0;32000;admin;NO
FAC-724;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-723;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (L);1128723;1;70000;0;Efectivo;70000;0;70000;admin;NO
FAC-722;2026-07-07;;;TOPOS UNISEX TOPOS DE SEGURIDAD 3 (VA);32326931;1;10000;0;Tarjeta de débito;10000;0;10000;admin;NO
FAC-722;2026-07-07;;;CANDONGAS UNISEX REDONDA 1 (VA);34323331;1;9000;0;;9000;0;9000;admin;NO
FAC-722;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (M);1128725;1;70000;0;;70000;0;70000;admin;NO
FAC-721;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (M);26319425;1;70000;0;A convenir;70000;0;70000;admin;NO
FAC-721;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (XXL);26319434;1;70000;0;;70000;0;70000;admin;NO
FAC-720;2026-07-07;;;CHAQUETAS DAMA JEAN OVEJERA (XL);25115432;1;100000;0;Tarjeta de crédito;100000;0;100000;admin;NO
FAC-720;2026-07-07;;;COLLAR UNISEX COLLAR 1 (VA);3037931;1;32000;0;;32000;0;32000;admin;NO
FAC-719;2026-07-07;;;CHAQUETAS CABALLERO COLUMBIA IMPORTADO (XL);25232932;1;150000;0;Transferencia o depósito;150000;0;150000;admin;NO
FAC-718;2026-07-07;;;CHAQUETAS UNISEX ROMPEVIENTOS NEGRA COLOMBIA (XXL);25333934;1;100000;0;Efectivo;100000;0;100000;admin;NO
FAC-717;2026-07-07;;;CHAQUETAS UNISEX ROMPEVIENTOS ROJA COLOMBIA (L);25334023;1;100000;0;Tarjeta de débito;100000;0;100000;admin;NO
FAC-717;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (L);1128823;1;60000;0;;60000;0;60000;admin;NO
FAC-716;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-716;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (S);1128727;1;70000;0;;70000;0;70000;admin;NO
FAC-715;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA AAA AMARILLA (L);1128823;1;60000;0;Efectivo;60000;0;60000;admin;NO
FAC-714;2026-07-07;;;CAMISETAS CABALLERO OVERSIZE (L);11220223;1;58000;0;Transferencia o depósito;58000;0;58000;admin;NO
FAC-714;2026-07-07;;;SUDADERA UNISEX OVERSIZE (UN);41320230;1;66000;0;;66000;0;66000;admin;NO
FAC-713;2026-07-07;;;BUSOS UNISEX MUNDIAL 2026 (M);26319425;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-712;2026-07-07;;;CAMISETAS NIÑO COLOMBIA AAA AMARILLA (18);114887;1;70000;0;Tarjeta de débito;70000;0;70000;admin;NO
FAC-711;2026-07-07;;;CAMISETAS CABALLERO PORTUGAL 1.1 VISITANTE (XXL);11222234;1;86000;0;Efectivo;86000;0;86000;admin;NO
FAC-710;2026-07-07;;;CAMISETAS CABALLERO CUELLO REDONDO TIPO GALLETA (M);11229125;1;42000;0;Efectivo;42000;0;42000;admin;NO
FAC-709;2026-07-07;;;CAMISETAS CABALLERO COLOMBIA 1.1 AMARILLA (M);1128725;1;70000;0;Transferencia o depósito;70000;0;70000;admin;NO
FAC-708;2026-07-07;;;CONJUNTO UNISEX DE COLOMBIA (VA);40311131;1;35000;0;Transferencia o depósito;35000;0;35000;admin;NO
FAC-707;2026-07-07;;;CAMISETAS DAMA COLOMBIA 1.1 AMARILLA (L);1118723;1;80000;0;Transferencia o depósito;80000;0;80000;admin;NO
FAC-706;2026-07-07;;;CAMISETAS DAMA COLOMBIA 1.1 AMARILLA (L);1118723;2;80000;0;Transferencia o depósito;80000;0;80000;admin;NO
